"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P000826","1(N34)# _ 1(N34)#","N34 _ N34",3
"P000931","2(N01)# _ 1(N14)# _ DUG~a","N01 N01 _ N14 _ DUG~a",6
"P000934","2(N01) _ 2(N01)#","N01 N01 _ N01 N01",5
"P000831","2(N01) _ UNUG~a _ NESAG2~a# _ MASZ _ |MAH~axMASZ|","N01 N01 _ UNUG~a _ NESAG2~a _ MASZ _ |MAH~axMASZ|",10
"P000834","3(N01) _ BA _ 1(N01) _ APIN~a _ 1(N01) _ SIG7# _ PAP~a _ 3(N02) _ 1(N01) _ PAP~a _ 1(N01) _ TUR _ SZIR~b _ 9(N01)#","N01 N01 N01 _ BA _ N01 _ APIN~a _ N01 _ SIG7 _ PAP~a _ N02 N02 N02 _ N01 _ PAP~a _ N01 _ TUR _ SZIR~b _ N01 N01 N01 N01 N01 N01 N01 N01 N01",39
"P000939","TUG2~b _ ZATU758 _ 1(N01) _ NIM~a _ TUG2~a","TUG2~b _ ZATU758 _ N01 _ NIM~a _ TUG2~a",9
"P000836","1(N01) _ NESAG2~a _ U8 _ SZE~a _ MAR~a","N01 _ NESAG2~a _ U8 _ SZE~a _ MAR~a",9
"P000838","1(N01) _ SI4~a _ 1(N01) _ GA~a _ NIMGIR _ GAL~a _ 2(N01) _ UKKIN~a _ 1(N01) _ SZITA~a1 _ 1(N01) _ UKKIN~a _ 1(N01)# _ 1(N01)# _ 2(N01) _ 1(N01)#","N01 _ SI4~a _ N01 _ GA~a _ NIMGIR _ GAL~a _ N01 N01 _ UKKIN~a _ N01 _ SZITA~a1 _ N01 _ UKKIN~a _ N01 _ N01 _ N01 N01 _ N01",33
"P000840","1(N01)# _ 1(N57) _ 1(N01) _ U4 _ PAP~a _ 1(N01)# _ BU~a# _ 1(N01) _ NIMGIR _ 3(N01) _ UDU~a _ NIM~a _ 1(N01) _ KU6~a _ 1(N14) _ 2(N01)#","N01 _ N57 _ N01 _ U4 _ PAP~a _ N01 _ BU~a _ N01 _ NIMGIR _ N01 N01 N01 _ UDU~a _ NIM~a _ N01 _ KU6~a _ N14 _ N01 N01",34
"P000958","1(N14) _ 1(N01) _ USZ~a _ 6(N01)# _ RU _ USZ~a _ 1(N01) _ EN~b _ 1(N01) _ |ZATU737xEN~b| _ 1(N01) _ PIRIG~a1 _ EN~b _ 1(N01) _ DUB~d _ 1(N01)# _ KASZ~b _ 1(N01) _ PA~b _ 1(N01) _ 1(N01) _ UMUN2# _ SANGA~b# _ 1(N01) _ ZATU678# _ 1(N01) _ ZATU678 _ 1(N01) _ GA~a _ GAL~a _ 1(N01) _ SUG5 _ SANGA~b _ 1(N01) _ NIR~b _ GA~a _ 1(N01) _ BU~a _ SANGA~b _ 1(N01) _ NAM2 _ 1(N01) _ UMBIN~b2 _ 1(N01) _ ISZ~b _ 1(N01) _ 1(N01) _ NIM~b2 _ 4(N01) _ |MAR~bx(LAGAB~b.SZE3)| _ 2(N01) _ TE _ PIRIG~a1 _ 3(N01) _ SZITA~a3 _ 1(N01) _ ZATU693 _ 1(N01) _ ZATU752 _ 1(N01)# _ SANGA~b# _ 1(N01) _ URU~b2 _ 1(N01) _ PAP~a _ UB# _ 1(N01) _ UB# _ 5(N14) _ 4(N01) _ GU4# _ AB2","N14 _ N01 _ USZ~a _ N01 N01 N01 N01 N01 N01 _ RU _ USZ~a _ N01 _ EN~b _ N01 _ |ZATU737xEN~b| _ N01 _ PIRIG~a1 _ EN~b _ N01 _ DUB~d _ N01 _ KASZ~b _ N01 _ PA~b _ N01 _ N01 _ UMUN2 _ SANGA~b _ N01 _ ZATU678 _ N01 _ ZATU678 _ N01 _ GA~a _ GAL~a _ N01 _ SUG5 _ SANGA~b _ N01 _ NIR~b _ GA~a _ N01 _ BU~a _ SANGA~b _ N01 _ NAM2 _ N01 _ UMBIN~b2 _ N01 _ ISZ~b _ N01 _ N01 _ NIM~b2 _ N01 N01 N01 N01 _ |MAR~bx(LAGAB~b.SZE3)| _ N01 N01 _ TE _ PIRIG~a1 _ N01 N01 N01 _ SZITA~a3 _ N01 _ ZATU693 _ N01 _ ZATU752 _ N01 _ SANGA~b _ N01 _ URU~b2 _ N01 _ PAP~a _ UB _ N01 _ UB _ N14 N14 N14 N14 N14 _ N01 N01 N01 N01 _ GU4 _ AB2",161
