"object_id","ensemble_id","archaeological_unit","site_name","location","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean","coding_random","num.char","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"hfc0034","","Aurignacien","Hohle Fels",NA,"IIIa","AMS","31140+250/-240 - 29710+210/-200",NA,NA,NA,"2001","ivory","undetermined",17,17,2,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0035","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2001/2002","ivory","figurine zoomorph",48,13,9,"almost complete","≠ _ ≠","","≠ _ ≠","≠ _ ≠",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"hfc0036","","Aurignacien","Hohle Fels",NA,"Iid","AMS","30010±220 - 29560+240/-230",NA,NA,NA,"1999","ivory","undetermined",19,16,3,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0037","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2002","ivory","awl",93,7,7,"complete","≠","","≠","≠",1,0,0,0,1,"NA"
"hfc0039","","Aurignacien","Hohle Fels",NA,"IIIb","AMS","29990+340/-330 - 29780+330/-310",NA,NA,NA,"2004","ivory","undetermined",28,5,2,"fragmented","!||||||||||!","","||||||||||","||||||||||",10,0,0.645261023500736,0.645261023500736,0.1,"1"
"hfc0040","","Aurignacien","Hohle Fels",NA,"IIIa-V","AMS","40000+500 - 29710+210/-200",NA,NA,NA,"2004","ivory","undetermined",23,7,3,"fragmented","!||||","","||||","||||",4,0,0.50708020839343,0.50708020839343,0.25,"1"
"hfc0041","","Aurignacien","Hohle Fels",NA,"Vb","AMS","40000±500 - 31290±180",NA,NA,NA,"2006","ivory","personal ornament",23,7,6,"almost complete","OO","","OO","OO",2,0,0.25,0.25,0.5,"1"
"hfc0042","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2002","ivory","rod/bâton",41,10,5,"fragmented","X || _ | _ | || |","","X || _ | _ | || |","| _ X || _ | || |",13,1.66918033686673,1.1549373550637,1.17854723503031,0.307692307692308,"0.166666666666667"
"hfc0043","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"1977","ivory","undetermined",29,12,5,"fragmented","≠ v _ vvvvV _ >>","","≠ v _ vvvvV _ >>","vvvvV _ ≠ v _ >>",12,2.28415912785142,1.62974955753571,1.77003381403355,0.5,"0.363636363636364"
"hfc0044","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2008","ivory","personal ornament",40,6,3,"fragmented","!||||||||||||||||||| _ !vvvvvvvvvvvvvv _ !vvvvvvvvvvvvvvvvvvv","","||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvv _ ||||||||||||||||||| _ vvvvvvvvvvvvvvvvvvv",54,1.14052400782537,0.950559275192341,0.964225267695509,0.0555555555555556,"0.924528301886792"
"hfc0045","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2008","ivory","flute",12,4,2,"fragmented","!vv","","vv","vv",2,0,0.25,0.25,0.5,"1"
"hfc0046","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2008","ivory","personal ornament",61,5,3,"fragmented","!|||||||||||||||! _ !vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv! _ !vvvvvvvvvvvvvvvvvvvv!","","||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvvv _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",69,0.934231351307668,0.833921325095101,0.857985941958565,0.0434782608695652,"0.941176470588235"
"hfc0047","","Aurignacien","Hohle Fels",NA,"Vb","AMS","40000±500 - 31290±180",NA,NA,NA,"2008","ivory","possible flute",21,8,3,"fragmented","| | || | >","","| | || | >","| | || | >",10,1.36096404744368,1.04816733739512,1.04816733739512,0.3,"0.111111111111111"
"hfc0049","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2006","ivory","undetermined",26,8,3,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0050","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2006","ivory","undetermined",17,11,3,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
