"id","period","coding_sample","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
43,"aurignacian","vvvvvv_vvvvvvvvvvvv_vvvvvv/v_XXX_vvvv_vvvvvvvvvvvvvvvvvv_v_XX_vvvvvvvv",70,0.974689929664072,0.989747781712,0.0571428571428571,0.739130434782609
44,"aurignacian","X X X X X X X_vvvvvvvvvvvvvvvvvvvvvvvvvv_vvv vvv vv vvv vvv_\\\\ \\\\\_\ \\\ /_XXXXX_XXXX_||||||||||||_|||||_|||||||_vvvv_|||||||_¥_vvv_v_°°°°°_vvvvvvv",151,2.55379584520617,1.67613003853354,0.0596026490066225,0.613333333333333
45,"aurignacian","vvvvv_vvvvvvvv_°°°°°_vvvvvvv_||||_|||||_||||||||_v_W W_||",57,2.05941187168755,1.51113857388015,0.105263157894737,0.642857142857143
46,"aurignacian","vvvvvvvvvvvvvvvvvv_v_|||||_vvvvv_vvvv_||_vvvv_/ \_|||_||_vvvvvvvv",65,1.57443004759735,1.37962563841475,0.0923076923076923,0.65625
47,"aurignacian","|||||||_vvvvvvvvvvvv_vvvvvv_YYY_XX_| | || | >_vvv_vv_vv_vvv",59,2.13841084018538,1.64492602498566,0.11864406779661,0.551724137931034
48,"aurignacian","||||||||||_||||_|||||_||||||||_OO_vvvv vvv vv_vvv v vvvv_vvv_v vv v v v v v_v v v v v_vvvv_>>>>>>>_vvvvvv_vvv_////////////_///_/////_// ////_¥_///////////_",155,2.48961477719949,1.55091150387817,0.0516129032258065,0.551948051948052
49,"aurignacian","vvvvv_|| |||_v v v vv vv_v v vv_|||||X_||||_XX_vvv_||||||_vvvv vvv_||||_vvvv vv",79,1.98255213631049,1.30971607532767,0.0632911392405063,0.474358974358974
50,"aurignacian","vvvvv_vvvvv_XXXXX_|| |_||||_|||_v_v_v_v_v_||||_|||||_||||||||",61,1.88646392276268,1.33133660129401,0.0819672131147541,0.533333333333333
51,"aurignacian","|||||||_X_¥_||_vvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_¥",105,0.972916199839795,0.713468099473401,0.0476190476190476,0.865384615384615
52,"aurignacian","vvvv*vvvvvvvv_|||||_¤¤¤¤¤¤¤¤¤__XX_vvvvvvvv_|||||||||||__vvvv_V_v_/ / / / //",75,2.5996286562734,1.71460223086507,0.12,0.621621621621622
53,"aurignacian","v v vv v v_¥_||||_$_vvvvv_vvvvvv_&_//_vvvvv",43,2.16795090330627,1.74925106424332,0.186046511627907,0.428571428571429
54,"aurignacian","Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vv_vv_||_¥_|||||||_||||||_||||||||||_vv_///__°°°°°°°°°_°°°°°°_°_°_¤¤¤¤¤¤_vvvvvvvvvvvvvvvvvvv",206,1.67082212784625,1.15552554206821,0.0388349514563107,0.839024390243902
55,"aurignacian","vvv_vvvvvvv__||l_W W_Vvvvvvvvvvvvv_vvvvvvvvvvvvv_vvvvvvv_vvvvvv_>>>>\\\ _>>>_ ^^^^_°°°°°°°°°°°°°_°°°°°°°°°°_°°°°°°°°°°°°_°°°°°°°°°°°°° _¥_¥",139,2.42793646605406,1.46735212466173,0.0863309352517986,0.710144927536232
56,"aurignacian","| ||||_|_vv v_||||_ | ||_||||_XX_vvvvvvvv_vvvv_vvvvv_>>_||||CC_¤¤¤¤¤¤¤¤¤¤¤¤_|||| _X_|||||_vvvvv_OO",98,2.55170914106282,1.76319621301755,0.0918367346938776,0.556701030927835
57,"aurignacian","vvvvvvv_vvv_vvvv vvv vv_vvv v vvvv_vvv_v vv v v v v v_v v v v v_vvvv_>>>>>>>_XX_vvvvv_|||||_/////////////////_///////////////_vvvv_vvvvv",136,2.18347438269806,1.4484588082525,0.0514705882352941,0.57037037037037
58,"aurignacian","vvvv_vv_vvv_⊞_vvvvvvvvvvvvvvvvvv_ ⊞_||| /////_V_vvv_vv_vv_vvv_⊞_¥",65,1.96121540775355,1.53691429951397,0.123076923076923,0.546875
59,"aurignacian","vvvvv_Vvvv_||||_V_v_/ / //_¥_vvv vvv_||||||||||||_|||||_|||||||",63,2.14897095202725,1.5110883525092,0.111111111111111,0.564516129032258
60,"aurignacian","vvvvvvvvvvvvvvvvvv_v__||l_OO_////_⊞_vvv_|||_X X_|||_////_|||||_vvv_vv_||_|||||_||_vvv||||_^^^^_X",96,2.47442500134788,1.82929501226646,0.104166666666667,0.557894736842105
61,"aurignacian","⊞_ _V V_V_vv_vv_vvv_vvvvvvvv_////////////_///_/////_// ////_¥_///////////__XXX_Vvvv_||||_vvvvvvv",96,2.32022703923232,1.66842482844435,0.09375,0.589473684210526
62,"aurignacian","W W_/XX_|||||_¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤_/////_|||||_¤¤¤¤¤¤¤_||| ||||_||_| | || | | |_lllll | |_////_/// ¤¤¤¤_⊞_vvvvvvvvvvvvvvvvvv_ ⊞_⊞_vvvv vvv vv_vvv v vvvv_vvv_v vv v v v v v_v v v v v_vvvv_>>>>>>>_vvvvvvvvvvvv",202,2.81908980068018,1.70422537722427,0.0544554455445545,0.512437810945274
63,"aurignacian","OO_/ / / / //_vvvvv_v v v vv_v v v vv_|||||_¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤_/////_|||||_¤¤¤¤¤¤¤_||| ||||_||_| | || | | |_lllll | |_////_/// ¤¤¤¤_XXXX_X X X X X X X_vvvvvvvvvvvvvvvvvvvvvvvvvv_vvv vvv vv vvv vvv",193,2.80952302352366,1.65244617097284,0.0466321243523316,0.5
64,"aurignacian","|| ||_vvv_vvvvvvvvvvvv_vv_vvv_||_|||||_/////////////////_///////////////_/ / / / //",83,1.98886448314173,1.29215099627255,0.0602409638554217,0.658536585365854
65,"aurignacian","| ||||| |_| | | || || | | | | |_vvvvv_vv_v v v vv_v v v_v v vv vv vv vv_¥_vvv_vvvvvvv_|| |||_vvvvvv__||l",104,2.00732167192124,1.4649912644647,0.0576923076923077,0.330097087378641
66,"aurignacian","||||_–XXXX_¤¤¤¤¤¤¤¤¤_vvvvvvvvvvvvv_////////////_XXX_vvvv_v_vvvvvv__v_vvvvvvv_vv",79,2.31398775973149,1.5170568316552,0.0886075949367089,0.705128205128205
