"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"vhc0113","Vogelherd","35810±710 - 25900±260","bone","rod/bâton","!vvv! _ !vvvv! _ vv! _ !vvvv!","vvv _ vvvv _ vv _ vvvv"
"vhc0114","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!||||||!","||||||"
"vhc0115","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvvv!","vvvv"
"vhc0116","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!⊞!","⊞"
"vhc0117","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vvvvv!","vvvvv"
"vhc0118","Vogelherd","35810±710 - 25900±260","bone","flute","v v vv v v v","v v vv v v v"
"vhc0119","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!v vv v!","v vv v"
"vhc0120","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!⊞!","⊞"
"vhc0121","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!| | |!","| | |"
"vhc0122","Vogelherd","35810±710 - 25900±260","bone","tube/flute","v!","v"
"vhc0123","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","vvvv vvv vv! _ vvv v vvvv _ vvv! _ !v vv v v v v v! _ v v v v v _ !vvvv! _ !>>>>>>>!","vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>>"
"vhc0124","Vogelherd","35810±710 - 25900±260","bone","undetermined","vvvvvv","vvvvvv"
"vhc0125","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvv!","vvv"
"vhc0126","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvvvvvv! _ // /// //!","vvvvvvv _ // /// //"
"vhc0127","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vv! _ !vvv!","vv _ vvv"
"vhc0128","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!||!","||"
"vhc0129","Vogelherd","35810±710 - 25900±260","bone","tube/flute","vvvv _ vvvv","vvvv _ vvvv"
"vhc0130","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vv!","vv"
