"tablet.id","signs.orig.vec","signs.expand.vec"
"P000109","1(N01) _ BU~a _ SZAB~a _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ BU~a _ SZAB~a _ N01 _ N01 _ N01"
"P000110","1(N01) _ 1(N01)","N01 _ N01"
"P000111","HALUB _ MUSZEN _ SZE~a _ MASZ _ TU~b _ 1(N34)","HALUB _ MUSZEN _ SZE~a _ MASZ _ TU~b _ N34"
"P000113","1(N01) _ SU~a _ NI~b _ 1(N01) _ SU~a _ NI~b","N01 _ SU~a _ NI~b _ N01 _ SU~a _ NI~b"
"P000114","1(N14) _ U8","N14 _ U8"
"P000115","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000116","1(N01) _ 1(N01) _ NIM~b2 _ 1(N01) _ SZITA~a1 _ 1(N01) _ ZATU753 _ 1(N01) _ SANGA~a _ 1(N01) _ 1(N01) _ UB _ 1(N01) _ 1(N01) _ 1(N01) _ NAMESZDA _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ 1(N01) _ |SZE~a.NAM2| _ 1(N01) _ AN _ HI _ KI _ NUN~a _ 1(N01) _ 1(N34)","N01 _ N01 _ NIM~b2 _ N01 _ SZITA~a1 _ N01 _ ZATU753 _ N01 _ SANGA~a _ N01 _ N01 _ UB _ N01 _ N01 _ N01 _ NAMESZDA _ N01 _ NAM2 _ URU~a1 _ N01 _ N01 _ |SZE~a.NAM2| _ N01 _ AN _ HI _ KI _ NUN~a _ N01 _ N34"
"P000117","1(N01) _ 1(N01) _ |DUG~bxKASKAL|","N01 _ N01 _ |DUG~bxKASKAL|"
"P000118","1(N01) _ |UR2x1(N57)| _ 1(N01) _ |GISZxSZU2~b| _ 1(N01) _ GISZIMMAR~b1 _ 1(N01) _ UR2 _ 1(N01) _ 1(N01)","N01 _ |UR2x1(N57)| _ N01 _ |GISZxSZU2~b| _ N01 _ GISZIMMAR~b1 _ N01 _ UR2 _ N01 _ N01"
"P000120","IR~a _ 1(N01) _ DIN _ IR~a _ 1(N01) _ SU~a _ NI~b _ 1(N01) _ NI~b _ 1(N01) _ 1(N01) _ |DUG~bxKASKAL| _ 1(N01) _ KASZ~b _ 1(N01) _ |DUG~bxGESZTU~a| _ 1(N01) _ 1(N01) _ 1(N01)","IR~a _ N01 _ DIN _ IR~a _ N01 _ SU~a _ NI~b _ N01 _ NI~b _ N01 _ N01 _ |DUG~bxKASKAL| _ N01 _ KASZ~b _ N01 _ |DUG~bxGESZTU~a| _ N01 _ N01 _ N01"
"P000122","1(N01) _ SU~a _ NI~b _ 1(N01) _ E2~a _ SU~a _ NI~b","N01 _ SU~a _ NI~b _ N01 _ E2~a _ SU~a _ NI~b"
"P000123","1(N01) _ 1(N01) _ DUB~a _ SANGA~a _ 1(N01)","N01 _ N01 _ DUB~a _ SANGA~a _ N01"
"P000124","GAL~a","GAL~a"
"P000125","KAD4~b _ 3(N01) _ ZA~v _ 1(N01)","KAD4~b _ N01 N01 N01 _ ZA~v _ N01"
"P000126","1(N01) _ 1(N01) _ MUSZEN","N01 _ N01 _ MUSZEN"
"P000127","1(N01) _ 1(N01) _ UMUN2 _ KU3~a _ 1(N01) _ GAL~a _ AK~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ UMUN2 _ KU3~a _ N01 _ GAL~a _ AK~a _ N01 _ N01 _ N01 _ N01"
"P000128","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000129","1(N01) _ 1(N01) _ ABGAL _ 1(N01) _ 1(N01) _ TE _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ ABGAL _ N01 _ N01 _ TE _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000132","1(N01) _ AN _ TAK4~a","N01 _ AN _ TAK4~a"
"P000133","DARA4~a1 _ DARA4~a1 _ AMAR","DARA4~a1 _ DARA4~a1 _ AMAR"
"P000134","1(N01) _ SU~a _ 1(N01) _ E2~a","N01 _ SU~a _ N01 _ E2~a"
"P000135","KAK~a _ GI6","KAK~a _ GI6"
"P000136","1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01"
"P000137","",""
"P000138","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000139","",""
"P000140","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SANGA~a _ 1(N01) _ SANGA~a _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ N01 _ N01 _ SANGA~a _ N01 _ SANGA~a _ N01 _ GAL~a _ N01"
"P000141","AMAR _ BA","AMAR _ BA"
"P000142","1(N01) _ 1(N01) _ GU4 _ 1(N01) _ 3(N57) _ ZAG~a _ GU4 _ 1(N01) _ 3(N57) _ DARA4~a1 _ ZAG~a","N01 _ N01 _ GU4 _ N01 _ N57 N57 N57 _ ZAG~a _ GU4 _ N01 _ N57 N57 N57 _ DARA4~a1 _ ZAG~a"
"P000143","1(N01) _ SZEN~a _ 1(N01) _ URI _ 1(N01) _ SUH3 _ 1(N01)","N01 _ SZEN~a _ N01 _ URI _ N01 _ SUH3 _ N01"
"P000144","1(N01) _ |GISZ3~a&GISZ3~a| _ GISZ _ 1(N01)","N01 _ |GISZ3~a&GISZ3~a| _ GISZ _ N01"
"P000145","",""
"P000146","1(N01) _ 1(N01)","N01 _ N01"
"P000147","1(N01) _ 1(N01) _ SZA _ 1(N01) _ UB _ 1(N01)","N01 _ N01 _ SZA _ N01 _ UB _ N01"
"P000148","1(N01) _ 1(N29~a) _ 1(N01) _ 1(N28) _ 1(N01)","N01 _ N29~a _ N01 _ N28 _ N01"
"P000149","1(N01) _ AMA~b _ 1(N01) _ BAHAR2~a _ 1(N01) _ 1(N01)","N01 _ AMA~b _ N01 _ BAHAR2~a _ N01 _ N01"
"P000150","SZE~a _ SZE~a","SZE~a _ SZE~a"
"P000151","1(N01) _ 1(N01)","N01 _ N01"
"P000152","1(N01) _ 1(N01) _ TUR","N01 _ N01 _ TUR"
"P000153","HI _ 1(N01) _ 9(N58) _ NI~b _ 1(N01) _ IR~a _ 1(N01) _ NE~a _ 1(N01) _ 1(N01) _ SU~a _ NI~b _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","HI _ N01 _ N58 N58 N58 N58 N58 N58 N58 N58 N58 _ NI~b _ N01 _ IR~a _ N01 _ NE~a _ N01 _ N01 _ SU~a _ NI~b _ N01 _ N01 _ N01 _ N01"
"P000154","1(N01) _ |DUG~bxSZAH2~a| _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ |DUG~bxSZAH2~a| _ N01 _ N01 _ N01"
"P000155","1(N01) _ AN _ 1(N01) _ NAGAR~b _ SZITA~a1 _ 1(N01) _ AN _ NAGAR~b _ SZITA~a1 _ 1(N01) _ NAGAR~b","N01 _ AN _ N01 _ NAGAR~b _ SZITA~a1 _ N01 _ AN _ NAGAR~b _ SZITA~a1 _ N01 _ NAGAR~b"
