"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random"
"vhc0123",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","ivory","Mammuthus primigenius","rod/baton","",25,6,5,"fragmented","Universität Tübingen","Find No.: 65/62-29.1","vvvv vvv vv! _ vvv v vvvv _ vvv! _ !v vv v v v v v! _ v v v v v _ !vvvv! _ !>>>>>>>!","uncertain","vvvv vvv vv_vvv v vvvv_vvv_v vv v v v v v_v v v v v_vvvv_>>>>>>>","v vv v v v v v_>>>>>>>_vvvv_v v v v v_vvv v vvvv_vvv_vvvv vvv vv"
"vhc0121",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","tube/flute","",36,11,3,"fragmented","Universität Tübingen","Find No.: 64/63-24.2","!v v v!","very certain","v v v","v v v"
"vhc0119",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","","ivory","Mammuthus primigenius","possible figurine","",9,5,3,"fragmented","Universität Tübingen","Find No.: 63/63-32.1","!v vv v!","certain","v vv v","v vv v"
"vhc0118",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","flute","",19,4,3,"fragmented","Universität Tübingen","Find No.: 62/61-33.3","v v vv v v","certain","v v vv v v","v v vv v v"
"vhc0117",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","tube/flute","",12,6,3,"fragmented","Universität Tübingen","Find No.: 61/63-12.1","!vvvvv!","uncertain","vvvvv","vvvvv"
"vhc0115",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","undetermined","",11,4,2,"fragmented","Universität Tübingen","Find No.: 59/64-15","!vvvv!","uncertain","vvvv","vvvv"
"vhc0114",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","undetermined","",40,23,8,"fragmented","Universität Tübingen","Find No.: 58/64-15.1","!||||||!","very certain","||||||","||||||"
"vhc0113",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","bone","undetermined","rod/baton","",19,4,4,"fragmented","Universität Tübingen","Find No.: 58/64-15.1","!vvv! _ !vvvv! _ vv!","certain","vvv_vvvv_vv","vvvv_vvv_vv"
"vhc0112",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",14,11,8,"fragmented","Universität Tübingen","Find No.: 57/63-57.1","vv _ X","certain","vv_X","vv_X"
"vhc0110",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","undetermined","",17,8,3,"fragmented","Universität Tübingen","Find No.: 54/66-29.1","vvv!","certain","vvv","vvv"
"vhc0109",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","possible flute","",17,3,2,"fragmented","Universität Tübingen","Find No.: 53/65-6.1","!vvvvvvv!","very certain","vvvvvvv","vvvvvvv"
"vhc0108",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HU/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2005","bone","undetermined","undetermined","",15,4,2,"fragmented","Universität Tübingen","Find No.: 48/70-17.1","!XXXX!","uncertain","XXXX","XXXX"
"vhc0175",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HU/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2005","ivory","Mammuthus primigenius","rod/baton","",18,5,3,"fragmented","Universität Tübingen","Find No.: 48/68-24.1","vvv","very certain","vvv","vvv"
"vhc0107",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2005","ivory","Mammuthus primigenius","rod/baton","",29,12,5,"fragmented","Universität Tübingen","Find No.: 47/67-104.1","/ \ _ |||! _ ||!","certain","/ \_|||_||","|||_||_/ \"
"vhc0105",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","possible flute","",13,2,2,"fragmented","Universität Tübingen","Find No.: 45/69-21.1","!vvvvvvv!","very certain","vvvvvvv","vvvvvvv"
